type,entry_date,exit_date,entry_price,exit_price,pnl,return_pct
SHORT,2025-02-24,2025-02-25,96218.4,88639.1,7579.299999999988,7.8771835740357234
LONG,2025-04-06,2025-04-07,83861.3,79140.0,-4721.300000000003,-5.629891260927272
LONG,2025-04-25,2025-04-26,93632.1,94575.7,943.5999999999913,1.0077740433035158
LONG,2025-05-27,2025-05-28,93697.1,107723.1,14026.0,14.969513464130694
SHORT,2025-06-02,2025-06-03,105539.9,105330.1,209.79999999998836,0.19878737804374305
SHORT,2025-06-08,2025-06-09,105676.5,110227.9,-4551.399999999994,-4.306917810487662
SHORT,2025-06-16,2025-06-17,105534.6,104508.0,1026.6000000000058,0.9727615398172786
SHORT,2025-07-03,2025-07-04,104832.8,107935.4,-3102.5999999999913,-2.959569905602055
SHORT,2025-07-06,2025-07-07,108153.4,108203.9,-50.5,-0.04669293799362757
SHORT,2025-10-20,2025-10-21,110469.9,108253.7,2216.199999999997,2.006157333355056
