epoch,acc,auc,learning_rate,loss,val_acc,val_auc,val_loss
0,0.5027580857276917,0.5175737142562866,0.0010000000474974513,0.8074463605880737,0.522088348865509,0.47640591859817505,0.6943067908287048
1,0.5350669622421265,0.5364850759506226,0.0010000000474974513,0.7701713442802429,0.522088348865509,0.5006787180900574,0.6946884393692017
2,0.5153664350509644,0.5198431015014648,0.0010000000474974513,0.7794824838638306,0.522088348865509,0.5065611004829407,0.6937130689620972
3,0.5468873381614685,0.5524427890777588,0.0010000000474974513,0.7453904747962952,0.5140562057495117,0.5078215599060059,0.6934814453125
4,0.5256107449531555,0.5410834550857544,0.0010000000474974513,0.7460669875144958,0.5180723071098328,0.4877828061580658,0.6950827240943909
5,0.5342789888381958,0.5345560908317566,0.0010000000474974513,0.756655216217041,0.522088348865509,0.46680670976638794,0.7034423351287842
6,0.5563435554504395,0.5765090584754944,0.0010000000474974513,0.7177596092224121,0.522088348865509,0.5055914521217346,0.70046067237854
7,0.5468873381614685,0.5686761736869812,0.0010000000474974513,0.7204106450080872,0.522088348865509,0.5069812536239624,0.7079925537109375
8,0.5358549952507019,0.5492119789123535,0.0010000000474974513,0.7283673882484436,0.522088348865509,0.5131868124008179,0.7041310667991638
9,0.5453112721443176,0.5660887956619263,0.0010000000474974513,0.7176820635795593,0.49799197912216187,0.4979637861251831,0.6948208808898926
10,0.5508274435997009,0.5761215090751648,0.0010000000474974513,0.7092928886413574,0.5100401639938354,0.5151260495185852,0.694287896156311
11,0.5256107449531555,0.5402028560638428,0.0010000000474974513,0.7317802309989929,0.5140562057495117,0.528151273727417,0.6931407451629639
12,0.5721040368080139,0.6059277057647705,0.0010000000474974513,0.6893253922462463,0.522088348865509,0.5272139310836792,0.7019274830818176
13,0.5807722806930542,0.607174813747406,0.0010000000474974513,0.6873723268508911,0.522088348865509,0.5240465402603149,0.7035583853721619
14,0.5413711667060852,0.5751290917396545,0.0010000000474974513,0.700735330581665,0.522088348865509,0.5150613784790039,0.6926183700561523
15,0.5358549952507019,0.56923508644104,0.0010000000474974513,0.7060795426368713,0.5261043906211853,0.5182934403419495,0.6924741268157959
16,0.5657998323440552,0.5932493209838867,0.0010000000474974513,0.6940969228744507,0.5421686768531799,0.5302520990371704,0.6945239305496216
17,0.570527970790863,0.6064444780349731,0.0010000000474974513,0.6856942176818848,0.5421686768531799,0.5492889285087585,0.6906392574310303
18,0.5681639313697815,0.5957087278366089,0.0010000000474974513,0.6863120794296265,0.5180723071098328,0.492436945438385,0.696162760257721
19,0.5657998323440552,0.5922095775604248,0.0010000000474974513,0.6896929144859314,0.5060241222381592,0.5095669031143188,0.6928349733352661
20,0.5594956874847412,0.5876708626747131,0.0010000000474974513,0.6932905316352844,0.4819277226924896,0.45633482933044434,0.6981071829795837
21,0.5791962146759033,0.6067872643470764,0.0010000000474974513,0.6797617077827454,0.5020080208778381,0.48477697372436523,0.6945686936378479
22,0.5776201486587524,0.6047414541244507,0.0010000000474974513,0.6829147934913635,0.522088348865509,0.45332902669906616,0.7005375027656555
23,0.5823482871055603,0.619064450263977,0.0010000000474974513,0.6750867962837219,0.522088348865509,0.45546215772628784,0.6998263597488403
24,0.5965327024459839,0.6404837369918823,0.0005000000237487257,0.6588833332061768,0.46987950801849365,0.4667097330093384,0.6987676024436951
25,0.5862883925437927,0.6310262084007263,0.0005000000237487257,0.6679762005805969,0.4538152515888214,0.4759857654571533,0.7006961107254028
26,0.5965327024459839,0.6317155957221985,0.0005000000237487257,0.6668913960456848,0.5060241222381592,0.4591790437698364,0.7015187740325928
27,0.5823482871055603,0.6187874674797058,0.0005000000237487257,0.6750773787498474,0.48995983600616455,0.468713641166687,0.6992803812026978
28,0.6122931241989136,0.6529784202575684,0.0005000000237487257,0.6548817157745361,0.48995983600616455,0.4558500051498413,0.6994988918304443
29,0.6154452562332153,0.6518592238426208,0.0005000000237487257,0.6574298739433289,0.522088348865509,0.49728506803512573,0.6953309774398804
